arquivo,tipo_recorte,binarizacao,texto_bruto,texto_limpo,conf_media,placa_real,acuracia_caractere,acuracia_placa
frame_000000_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000001_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000002_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000003_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000004_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000005_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000006_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000007_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000008_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000009_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000010_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000011_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000012_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000013_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000014_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000015_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000016_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000017_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000018_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000019_d0_recorte_justo.jpg,justo,Color,,,-1.000,HONDUH,0.000,0
frame_000021_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000022_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000023_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000024_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000025_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000026_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000027_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000028_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000029_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000030_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000031_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000032_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000033_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000034_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000035_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000036_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000037_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000038_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000039_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000040_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000041_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000042_d0_recorte_justo.jpg,justo,Color,,,-1.000,TIMELESS,0.000,0
frame_000043_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000044_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000045_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000046_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000047_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000048_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000049_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000050_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000051_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000052_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000053_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000054_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000055_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000056_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000057_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000058_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000059_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000060_d0_recorte_justo.jpg,justo,Color,,,-1.000,EEWABUG,0.000,0
frame_000061_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000062_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000063_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000064_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000065_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000066_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000067_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000068_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000069_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000070_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000071_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000072_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000073_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000074_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000075_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000076_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000077_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000078_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000079_d0_recorte_justo.jpg,justo,Color,,,-1.000,PIKACHU,0.000,0
frame_000080_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000081_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000082_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000083_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000084_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000085_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000086_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000087_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000088_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000089_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000090_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000091_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000092_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000093_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000094_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000095_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000096_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000097_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000098_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000099_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000100_d0_recorte_justo.jpg,justo,Color,,,-1.000,OHIFIT,0.000,0
frame_000101_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000102_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000103_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000104_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000105_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000106_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000107_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000108_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000109_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000110_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000111_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000112_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000113_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000114_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000115_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000116_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000117_d0_recorte_justo.jpg,justo,Color,,,-1.000,EWGAS,0.000,0
frame_000118_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000119_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000120_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000121_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000122_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000123_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000124_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000125_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000126_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000127_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000128_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000129_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000130_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000131_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000132_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000133_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000134_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000135_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
frame_000136_d0_recorte_justo.jpg,justo,Color,,,-1.000,OFZELDA,0.000,0
